Number,City,Gender,Age,Income,Illness
19814,New York City,Female,35,91631,No
19815,New York City,Female,40,100496,Yes
19816,New York City,Male,29,83864,No
19817,New York City,Female,53,86144,No
19818,New York City,Female,25,86482,No
19819,New York City,Male,35,103711,No
19820,New York City,Male,25,111494,No
19821,New York City,Male,50,81990,No
19822,New York City,Male,40,95757,No
19823,New York City,Male,55,109035,No
19824,New York City,Female,25,78574,No
19825,New York City,Male,28,94460,No
19826,New York City,Male,32,86989,No
19827,New York City,Female,41,73753,No
19828,New York City,Male,34,85910,Yes
19829,New York City,Female,34,96887,No
19830,New York City,Female,54,81410,No
19831,New York City,Male,26,101573,No
19832,New York City,Female,51,84192,No
19833,New York City,Female,36,74220,No
19834,New York City,Female,44,91827,No
19835,New York City,Male,43,102907,No
19836,New York City,Male,38,112552,No
19837,New York City,Male,37,89757,No
19838,New York City,Female,31,103381,No
19839,New York City,Male,51,88795,No
19840,New York City,Male,42,103814,No
19841,New York City,Male,46,102338,Yes
19842,New York City,Female,29,88629,No
19843,New York City,Male,61,96655,No
19844,New York City,Male,39,82804,No
19845,New York City,Male,64,114490,No
19846,New York City,Male,49,95294,No
19847,New York City,Male,37,98941,No
19848,New York City,Male,36,94859,No
19849,New York City,Female,44,97886,No
19850,New York City,Female,30,87063,No
19851,New York City,Female,55,89891,No
19852,New York City,Female,57,75832,No
19853,New York City,Male,43,101631,No
19854,New York City,Male,55,120760,Yes
19855,New York City,Female,27,92036,No
19856,New York City,Female,56,82532,Yes
19857,New York City,Male,60,109593,No
19858,New York City,Female,57,66108,No
19859,New York City,Female,29,101180,No
19860,New York City,Male,41,94095,Yes
19861,New York City,Male,57,104124,No
19862,New York City,Female,40,109455,No
19863,New York City,Male,44,93941,No
19864,New York City,Male,36,107107,No
19865,New York City,Male,61,91391,No
19866,New York City,Male,54,107298,No
19867,New York City,Male,40,80186,No
19868,New York City,Female,39,76063,No
19869,New York City,Female,29,73394,No
19870,New York City,Female,57,81391,No
19871,New York City,Male,44,88235,No
19872,New York City,Male,48,102451,No
19873,New York City,Male,42,113858,No
19874,New York City,Female,45,97073,No
19875,New York City,Female,51,101034,No
19876,New York City,Male,63,110583,No
19877,New York City,Female,44,92250,No
19878,New York City,Female,55,85202,Yes
19879,New York City,Male,33,109568,No
19880,New York City,Male,48,93871,No
19881,New York City,Female,29,81724,Yes
19882,New York City,Male,28,78918,No
19883,New York City,Male,53,107090,No
19884,New York City,Male,41,103781,No
19885,New York City,Male,48,90798,No
19886,New York City,Male,54,109389,No
19887,New York City,Female,62,88569,No
19888,New York City,Female,57,86688,No
19889,New York City,Male,60,111974,No
19890,New York City,Male,62,106604,No
19891,New York City,Female,45,102160,No
19892,New York City,Male,35,85832,No
19893,New York City,Female,38,86923,No
19894,New York City,Female,28,78601,No
19895,New York City,Male,38,112428,No
19896,New York City,Male,58,110341,No
19897,New York City,Female,40,95970,No
19898,New York City,Male,52,113866,Yes
19899,New York City,Male,57,107779,No
19900,New York City,Female,37,92475,No
19901,New York City,Male,64,97193,No
19902,New York City,Female,65,78749,No
19903,New York City,Male,48,95380,No
19904,New York City,Male,28,103417,No
19905,New York City,Male,37,102572,No
19906,New York City,Female,58,96990,No
19907,New York City,Male,34,110932,No
19908,New York City,Female,31,105291,No
19909,New York City,Female,26,68580,No
19910,New York City,Male,58,88833,No
19911,New York City,Male,30,97221,No
19912,New York City,Female,40,85415,No
19913,New York City,Female,48,88687,No
19914,New York City,Male,59,95464,No
19915,New York City,Male,45,108534,Yes
19916,New York City,Female,45,86923,Yes
19917,New York City,Male,31,110248,No
19918,New York City,Female,52,84599,No
19919,New York City,Female,59,89779,No
19920,New York City,Female,36,100843,No
19921,New York City,Male,38,94858,No
19922,New York City,Male,32,94762,No
19923,New York City,Male,63,84724,No
19924,New York City,Male,34,125776,No
19925,New York City,Male,59,108237,No
19926,New York City,Male,38,106244,No
19927,New York City,Male,38,108314,Yes
19928,New York City,Female,39,75143,No
19929,New York City,Male,58,113570,No
19930,New York City,Female,57,88198,No
19931,New York City,Female,64,105495,No
19932,New York City,Female,30,94696,Yes
19933,New York City,Male,54,91565,No
19934,New York City,Female,32,76613,No
19935,New York City,Female,30,72529,No
19936,New York City,Male,36,94880,No
19937,New York City,Female,49,83359,No
19938,New York City,Female,62,84013,No
19939,New York City,Male,58,110338,No
19940,New York City,Male,39,108710,No
19941,New York City,Male,29,99139,No
19942,New York City,Female,28,64283,No
19943,New York City,Female,40,83018,No
19944,New York City,Male,43,104896,No
19945,New York City,Female,55,88899,No
19946,New York City,Male,53,108615,No
19947,New York City,Male,55,103917,No
19948,New York City,Male,51,98360,No
19949,New York City,Female,59,126519,No
19950,New York City,Female,44,88212,No
19951,New York City,Female,51,84007,No
19952,New York City,Male,60,108250,No
19953,New York City,Male,54,93762,No
19954,New York City,Female,54,99529,No
19955,New York City,Male,52,106043,No
19956,New York City,Male,37,93661,No
19957,New York City,Male,59,92177,No
19958,New York City,Male,38,97253,No
19959,New York City,Male,45,98410,No
19960,New York City,Female,63,89493,Yes
19961,New York City,Female,48,92492,No
19962,New York City,Male,42,112604,No
19963,New York City,Male,61,96091,No
19964,New York City,Female,42,89806,No
19965,New York City,Male,55,94491,No
19966,New York City,Male,41,121302,No
19967,New York City,Male,38,90426,No
19968,New York City,Male,45,103916,No
19969,New York City,Female,46,81078,No
19970,New York City,Female,36,85523,Yes
19971,New York City,Male,49,124244,No
19972,New York City,Female,27,93676,No
19973,New York City,Female,65,90258,No
19974,New York City,Male,39,100789,No
19975,New York City,Female,49,82919,No
19976,New York City,Female,49,81628,No
19977,New York City,Male,52,109189,No
19978,New York City,Male,28,102972,No
19979,New York City,Male,33,90030,No
19980,New York City,Male,38,100921,No
19981,New York City,Male,37,100710,No
19982,New York City,Male,56,91640,No
19983,New York City,Female,41,83344,No
19984,New York City,Female,65,93750,No
19985,New York City,Male,31,99190,No
19986,New York City,Female,26,73208,Yes
19987,New York City,Female,39,95759,No
19988,New York City,Female,56,89597,No
19989,New York City,Male,58,119124,No
19990,New York City,Male,65,105947,Yes
19991,New York City,Male,41,108032,No
19992,New York City,Male,38,87473,No
19993,New York City,Male,53,95928,No
19994,New York City,Male,55,99019,No
19995,New York City,Male,29,101239,No
19996,New York City,Female,35,98749,No
19997,New York City,Male,54,86878,No
19998,New York City,Male,26,93152,Yes
19999,New York City,Male,37,112907,No
20000,New York City,Male,50,120066,No
20001,New York City,Male,42,93307,No
20002,New York City,Male,58,102406,Yes
20003,New York City,Male,31,92264,No
20004,New York City,Male,42,94979,No
20005,New York City,Male,42,98797,No
20006,New York City,Male,43,111728,No
20007,New York City,Male,41,117682,No
20008,New York City,Male,42,113373,No
20009,New York City,Female,58,97284,Yes
20010,New York City,Male,42,114150,No
20011,New York City,Female,27,94662,No
20012,New York City,Female,44,76275,No
20013,New York City,Male,34,108700,Yes
20014,New York City,Male,40,99626,No
20015,New York City,Male,52,97337,No
20016,New York City,Male,47,111702,No
20017,New York City,Male,39,107980,No
20018,New York City,Female,51,106190,No
20019,New York City,Male,50,99416,No
20020,New York City,Female,40,101909,No
20021,New York City,Male,62,105456,No
20022,New York City,Female,31,80412,No
20023,New York City,Male,31,105908,No
20024,New York City,Female,34,85980,Yes
20025,New York City,Male,29,109090,No
20026,New York City,Female,52,95382,No
20027,New York City,Male,33,114456,No
20028,New York City,Male,58,109551,No
20029,New York City,Female,57,100437,No
20030,New York City,Female,25,85603,No
20031,New York City,Male,51,77000,No
20032,New York City,Male,28,99834,No
20033,New York City,Male,53,105955,No
20034,New York City,Female,42,80496,No
20035,New York City,Male,55,91283,No
20036,New York City,Male,29,111588,No
20037,New York City,Female,31,90719,No
20038,New York City,Male,44,81940,No
20039,New York City,Male,31,104201,Yes
20040,New York City,Male,48,103304,No
20041,New York City,Male,39,95952,No
20042,New York City,Male,51,109466,No
20043,New York City,Female,43,96141,No
20044,New York City,Female,44,85252,No
20045,New York City,Female,45,89368,No
20046,New York City,Female,33,85846,No
20047,New York City,Male,48,100472,No
20048,New York City,Male,31,100640,No
20049,New York City,Male,58,99851,No
20050,New York City,Male,42,101346,No
20051,New York City,Female,41,103816,No
20052,New York City,Female,60,94497,No
20053,New York City,Female,36,91805,No
20054,New York City,Male,29,111789,No
20055,New York City,Male,49,102550,No
20056,New York City,Female,60,84661,No
20057,New York City,Female,31,102102,No
20058,New York City,Male,58,99480,No
20059,New York City,Male,63,125310,No
20060,New York City,Male,51,100920,No
20061,New York City,Male,30,85103,No
20062,New York City,Female,44,84560,No
20063,New York City,Male,39,103909,No
20064,New York City,Female,28,102791,No
20065,New York City,Female,32,102818,No
20066,New York City,Male,65,84342,No
20067,New York City,Male,64,110736,No
20068,New York City,Male,54,104299,No
20069,New York City,Female,36,78224,No
20070,New York City,Male,56,130131,No
20071,New York City,Male,30,128355,No
20072,New York City,Female,43,90120,No
20073,New York City,Male,47,94640,No
20074,New York City,Male,38,102169,Yes
20075,New York City,Female,46,87666,Yes
20076,New York City,Male,33,84383,No
20077,New York City,Male,59,104691,No
20078,New York City,Female,48,94520,No
20079,New York City,Male,33,101579,No
20080,New York City,Male,26,110302,No
20081,New York City,Male,55,89910,No
20082,New York City,Male,41,106888,No
20083,New York City,Female,39,89519,No
20084,New York City,Male,51,98645,No
20085,New York City,Female,50,92568,No
20086,New York City,Male,44,74912,No
20087,New York City,Male,52,93787,No
20088,New York City,Male,29,96994,No
20089,New York City,Female,39,99302,No
20090,New York City,Male,26,112515,No
20091,New York City,Male,60,114001,No
20092,New York City,Female,57,106908,No
20093,New York City,Female,46,76882,No
20094,New York City,Female,42,91364,No
20095,New York City,Female,61,98844,No
20096,New York City,Male,57,108302,Yes
20097,New York City,Female,29,91219,No
20098,New York City,Male,39,96578,No
20099,New York City,Female,30,101448,No
20100,New York City,Male,48,102657,No
20101,New York City,Female,59,94694,Yes
20102,New York City,Male,29,110345,No
20103,New York City,Female,36,82027,No
20104,New York City,Male,51,104345,No
20105,New York City,Female,57,90237,No
20106,New York City,Male,48,98953,No
20107,New York City,Male,59,94959,No
20108,New York City,Male,45,104667,No
20109,New York City,Male,39,102073,No
20110,New York City,Female,57,100430,No
20111,New York City,Female,26,65282,No
20112,New York City,Female,64,90306,No
20113,New York City,Female,31,81810,No
20114,New York City,Male,49,102338,Yes
20115,New York City,Female,53,103807,No
20116,New York City,Male,30,105905,No
20117,New York City,Female,28,112814,No
20118,New York City,Male,47,92961,No
20119,New York City,Female,27,102455,No
20120,New York City,Male,38,96045,No
20121,New York City,Female,56,68066,No
20122,New York City,Female,37,83245,No
20123,New York City,Female,31,100260,Yes
20124,New York City,Male,27,124494,No
20125,New York City,Male,28,108124,No
20126,New York City,Female,50,82260,Yes
20127,New York City,Female,40,87095,No
20128,New York City,Male,43,102220,Yes
20129,New York City,Female,43,86547,No
20130,New York City,Female,49,108261,No
20131,New York City,Male,46,102733,No
20132,New York City,Male,30,86488,No
20133,New York City,Female,53,92413,No
20134,New York City,Male,33,110894,No
20135,New York City,Female,62,100617,No
20136,New York City,Male,43,110741,No
20137,New York City,Male,50,102713,No
20138,New York City,Female,46,92654,No
20139,New York City,Female,46,97116,No
20140,New York City,Female,43,89678,No
20141,New York City,Female,34,91539,No
20142,New York City,Female,60,88897,No
20143,New York City,Male,64,90355,No
20144,New York City,Female,38,82063,No
20145,New York City,Female,38,83723,No
20146,New York City,Male,49,101737,No
20147,New York City,Male,26,105366,No
20148,New York City,Male,42,114695,No
20149,New York City,Male,61,108712,No
20150,New York City,Female,59,60609,Yes
20151,New York City,Male,30,102353,No
20152,New York City,Male,55,99229,No
20153,New York City,Female,43,79640,No
20154,New York City,Male,57,105335,No
20155,New York City,Male,38,100650,No
20156,New York City,Female,54,99049,No
20157,New York City,Male,44,88427,No
20158,New York City,Male,39,91573,No
20159,New York City,Male,34,107815,No
20160,New York City,Female,53,97478,No
20161,New York City,Male,56,94153,No
20162,New York City,Female,42,88001,No
20163,New York City,Male,35,106251,No
20164,New York City,Male,60,98985,No
20165,New York City,Male,61,93334,No
20166,New York City,Male,61,111715,Yes
20167,New York City,Female,60,101412,No
20168,New York City,Female,30,97156,Yes
20169,New York City,Male,38,100199,No
20170,New York City,Female,56,96206,No
20171,New York City,Male,43,95822,No
20172,New York City,Female,61,88356,No
20173,New York City,Female,41,74278,No
20174,New York City,Female,34,84838,No
20175,New York City,Male,59,91017,No
20176,New York City,Female,60,72371,Yes
20177,New York City,Male,62,115154,No
20178,New York City,Male,64,87401,No
20179,New York City,Female,51,104848,No
20180,New York City,Female,32,91805,No
20181,New York City,Male,38,101295,No
20182,New York City,Male,48,103321,No
20183,New York City,Male,40,91373,No
20184,New York City,Male,61,100505,No
20185,New York City,Male,29,104002,No
20186,New York City,Female,45,100004,No
20187,New York City,Male,42,89324,No
20188,New York City,Male,35,99723,No
20189,New York City,Male,28,99008,No
20190,New York City,Female,41,83676,No
20191,New York City,Female,52,90799,No
20192,New York City,Female,39,87761,No
20193,New York City,Female,36,91501,No
20194,New York City,Male,51,115391,No
20195,New York City,Male,46,98710,No
20196,New York City,Female,34,98815,Yes
20197,New York City,Male,50,103731,No
20198,New York City,Female,57,81537,No
20199,New York City,Male,50,122694,No
20200,New York City,Female,59,93264,No
20201,New York City,Male,29,105423,No
20202,New York City,Male,39,108229,No
20203,New York City,Female,36,64381,No
20204,New York City,Male,58,99467,No
20205,New York City,Male,43,89032,No
20206,New York City,Female,44,77718,Yes
20207,New York City,Female,52,92596,No
20208,New York City,Female,57,91218,No
20209,New York City,Male,36,91656,No
20210,New York City,Male,58,107325,No
20211,New York City,Female,30,76376,No
20212,New York City,Male,64,101522,No
20213,New York City,Male,34,94834,No
20214,New York City,Female,60,99535,No
20215,New York City,Female,45,91320,No
20216,New York City,Male,55,85606,No
20217,New York City,Female,61,75158,Yes
20218,New York City,Male,46,116639,Yes
20219,New York City,Female,37,87434,No
20220,New York City,Female,37,89020,No
20221,New York City,Female,37,94113,No
20222,New York City,Female,38,99474,No
20223,New York City,Female,38,83880,No
20224,New York City,Female,59,75843,No
20225,New York City,Female,63,104987,No
20226,New York City,Male,46,119435,No
20227,New York City,Male,47,106568,No
20228,New York City,Male,64,89353,No
20229,New York City,Female,32,74145,No
20230,New York City,Male,42,114964,No
20231,New York City,Female,63,87163,No
20232,New York City,Male,48,107144,No
20233,New York City,Female,52,72565,No
20234,New York City,Male,54,100767,No
20235,New York City,Female,39,82517,No
20236,New York City,Male,27,110205,No
20237,New York City,Female,65,100483,No
20238,New York City,Male,64,99972,No
20239,New York City,Female,27,88918,No
20240,New York City,Male,51,92103,No
20241,New York City,Female,52,84543,No
20242,New York City,Female,55,74492,No
20243,New York City,Female,29,99249,No
20244,New York City,Male,47,99591,No
20245,New York City,Female,60,91429,No
20246,New York City,Female,63,105781,No
20247,New York City,Male,41,104164,No
20248,New York City,Male,29,119455,No
20249,New York City,Male,62,99213,No
20250,New York City,Male,56,99443,No
20251,New York City,Male,32,119742,No
20252,New York City,Male,35,102160,Yes
20253,New York City,Male,36,102718,No
20254,New York City,Male,61,121089,No
20255,New York City,Male,38,110130,No
20256,New York City,Male,28,117580,No
20257,New York City,Female,35,98733,No
20258,New York City,Male,48,94272,No
20259,New York City,Female,30,91456,No
20260,New York City,Male,57,107224,Yes
20261,New York City,Female,38,92738,No
20262,New York City,Male,42,110409,No
20263,New York City,Male,46,92232,No
20264,New York City,Male,36,118691,No
20265,New York City,Female,25,111099,No
20266,New York City,Female,47,98042,No
20267,New York City,Male,53,104094,No
20268,New York City,Male,35,89352,No
20269,New York City,Female,52,91919,No
20270,New York City,Male,31,104482,No
20271,New York City,Female,28,94115,No
20272,New York City,Female,61,100136,No
20273,New York City,Male,59,113938,No
20274,New York City,Female,56,108433,No
20275,New York City,Male,48,102676,No
20276,New York City,Female,40,100270,No
20277,New York City,Male,53,102066,No
20278,New York City,Female,49,102318,No
20279,New York City,Male,64,96731,No
20280,New York City,Female,49,82726,Yes
20281,New York City,Male,41,113406,Yes
20282,New York City,Male,33,98462,No
20283,New York City,Male,63,88063,No
20284,New York City,Male,34,94291,No
20285,New York City,Male,31,106945,No
20286,New York City,Male,56,98839,Yes
20287,New York City,Female,36,92252,No
20288,New York City,Female,38,92480,No
20289,New York City,Male,53,98098,No
20290,New York City,Female,61,100248,No
20291,New York City,Male,30,101480,Yes
20292,New York City,Male,36,102021,No
20293,New York City,Male,25,114441,No
20294,New York City,Male,32,86825,No
20295,New York City,Male,53,77540,No
20296,New York City,Male,40,109400,No
20297,New York City,Male,29,99912,No
20298,New York City,Male,31,97625,No
20299,New York City,Male,62,100983,No
20300,New York City,Female,43,87382,No
20301,New York City,Male,55,91149,Yes
20302,New York City,Male,33,108690,Yes
20303,New York City,Female,43,90688,No
20304,New York City,Female,60,80735,No
20305,New York City,Female,27,88101,Yes
20306,New York City,Male,41,104238,No
20307,New York City,Female,44,91149,No
20308,New York City,Male,32,89902,No
